subject,verb,object
pessoa,não estar culpar,estrangeiro
pessoa,não falar não ter,controle
pessoa,não fazer,parte de pro
pessoa,não fazer,saque de conta inativo de fgts
pessoa,não fazer registrar,momento de festividade
pessoa,não mais suportar,perda
pessoa,não merecer,respeito
pessoa,não pagar,resgate
pessoa,não pensar,suficiente sobre questão
pessoa,não precisar pressionar,câmara
pessoa,não precisar reconhecer fornecer,informação
pessoa,não prestar,atenção
pessoa,não prestar,depoimento
pessoa,não querer ver,água
pessoa,não saber não adicionar,pessoa
pessoa,não sobreviver,suficiente
pessoa,não tentar fazer,resgate
pessoa,não ter,acesso
pessoa,não ter,condição
pessoa,não ter,interrupção de serviço
pessoa,não ter,prazo de dois ano aderir a acordo
pessoa,não tomar,choque
pessoa,onde continuamente ver,informação
pessoa,onde pensar apoiar trocar vivenciar,período importante de vida
pessoa,onde trabalhar,"47,9 hora por semana"
pessoa,organizar estar aqui organizar,atividade
pessoa,ouvir,gravação de conversa
pessoa,ouvir,voz
pessoa,pagar,dívida absurdo
pessoa,pagar,preço menor
pessoa,pagar,um ano desse financiamento
pessoa,parar gritar,palavra de ordem
pessoa,parecer ter,risco menor desenvolver
pessoa,passar,fome
pessoa,passar aí pedir,comida
pessoa,passar bem,tempo
pessoa,pedir,cadeia
pessoa,pedir,coisa
pessoa,pedir,dinheiro
pessoa,pedir gastar,dez mil
pessoa,pensar conter,solução para caso
pessoa,pensar perder,controle de horário dormir
pessoa,perceber,lado obscuro de violência
pessoa,perder,casa
pessoa,perder,compromisso familiar
pessoa,perder,percepção
pessoa,perder não pagar,empréstimo
pessoa,perder pagar,valor de casa
pessoa,perguntar,porquê destruir
pessoa,porém descartar,carta
pessoa,porém ter,opinião sobre acontecido
pessoa,porém ter,risco 17 % menor desenvolver
pessoa,praticamente cobrar,prêmio
pessoa,precisar encontrar,novo propósito
pessoa,precisar fazer,declaração
pessoa,precisar ganhar,três salário
pessoa,precisar manter não agravar,situação
pessoa,precisar saber,diferença entre nomenclatura por exemplo
pessoa,precisar ter,cuidado com amizade virtual
pessoa,preencher,ficha de inscrição
pessoa,preferir adiar,data
pessoa,prestar,depoimento sobre caso
pessoa,prestar,queixa sobre caso
pessoa,primeiro não conseguir empurrar,animal
pessoa,procurar,itep
pessoa,procurar,secretaria
pessoa,procurar,tribunal regional eleitoral próximo
pessoa,procurar,vacina
pessoa,procurar dar,contato de participante de reunião
pessoa,procurar fazer,denúncia
pessoa,procurar mais,autoridade
pessoa,procurar menos,hospital
pessoa,pular não querer fazer,parte importante
pessoa,quando tentar forçar,entrada em prédio de justiça federal
pessoa,queimar perder,peso
pessoa,querer ser amar mandar registrar condenar,pai
pessoa,querer tirar,presidente de república
pessoa,querer tirar,vida
pessoa,realizar,vídeo
pessoa,receber,benefício de aposentadoria
pessoa,receber,benefício integral
pessoa,receber,esquema profilático
pessoa,receber,indenização
pessoa,receber,serviço bom
pessoa,receber,valores menor r$ 50
pessoa,receber indevidamente,benefício
pessoa,receber jogar fora,carta
pessoa,receber responsabilizar,samarco
pessoa,recordar,momento de tensão
pessoa,recuperar,notebook furtado
pessoa,relatar recentemente pedir,quebra de sigilo bancário de raimundo carreiro
pessoa,respeitar,orador
pessoa,responder,pergunta
pessoa,responder,quiz
pessoa,retratar,realidade
pessoa,rolar,escada de sala
pessoa,saber portanto usar,informação privilegiado
pessoa,sair conhecer,lionel richie night long
pessoa,seguir,manual de calçada
pessoa,seguir,marcha
pessoa,sempre fazer,ilação
pessoa,sentem buscar,salvador
pessoa,sentir,vergonha de si mesmo
pessoa,ser não haver,cultura fazer
pessoa,ser não ter,condição arcar com custo
pessoa,ser ter,consciência
pessoa,ser ter,direito errar
pessoa,significar,gasto
pessoa,simplesmente não refletir,suficiente sobre tortura
pessoa,sobreviver ter,efeito direto
pessoa,sofrer,constrangimento ilegal
pessoa,sofrer,queda de moto
pessoa,sofrer,violência
pessoa,souberar escolher,próximo prefeito
pessoa,subestimar,consumidor
pessoa,substituir,carne vermelho
pessoa,suportar,situação
pessoa,só procurar,rede público
pessoa,só ver,gente
pessoa,também fazer,ofensa
pessoa,também ficar identificar,armadilha
pessoa,também precisar saber organizar,tempo
pessoa,também ter,maior risco
pessoa,tecer,elogio
pessoa,tendem também causar,lesão em labirinto
pessoa,tentar ajudar,pessoa
pessoa,tentar amenizar,calor
pessoa,tentar esconder,incompetência
pessoa,tentar não ter,contato com pessoa
pessoa,ter,17 unidade de saúde disponível vacinar com dose fracionado partir de segunda feira 29
pessoa,ter,acesso
pessoa,ter,acesso a transporte aéreo
pessoa,ter,amor
pessoa,ter,ansiedade
pessoa,ter,antecendente criminal
pessoa,ter,arma
pessoa,ter,ato sexual
pessoa,ter,benefício
pessoa,ter,chance desenvolver
pessoa,ter,chance ter
pessoa,ter,compreensão
pessoa,ter,contato com vírus
pessoa,ter,controle de próprio destino
pessoa,ter,convicção bom ideia
pessoa,ter,deficiência físico
pessoa,ter,dificuldade com burocracia de validação de diploma em país
pessoa,ter,dificuldade ressocializar
pessoa,ter,direito a dois ingresso
pessoa,ter,direito ir
pessoa,ter,direito procurar
pessoa,ter,direito rebelar contra governo ditatorial
pessoa,ter,distúrbio relacionado a álcool
pessoa,ter,doença
pessoa,ter,doença de base
pessoa,ter,duas incidência
pessoa,ter,dúvida
pessoa,ter,expectativa de vida 100 ano
pessoa,ter,filiação partidário
pessoa,ter,ideologia x
pessoa,ter,importância
pessoa,ter,lugar cumprir
pessoa,ter,maior incidência de demência
pessoa,ter,maior tendência fumar
pessoa,ter,medo
pessoa,ter,medo de mudança
pessoa,ter,mesmo direito
pessoa,ter,noção
pessoa,ter,náusea
pessoa,ter,oportunidade esclarecer
pessoa,ter,posição melhor
pessoa,ter,prazo de dois ano aderir a acordo
pessoa,ter,problema com empresa
pessoa,ter,responsabilidade conferir
pessoa,ter,rotina
pessoa,ter,site
pessoa,ter,três cópia de cromossomo
pessoa,ter,um codinome
pessoa,ter apenas,foto antigo desses lugar
pessoa,ter atualmente,conhecimento
pessoa,ter cumprir,pena
pessoa,ter dentro,arma
pessoa,ter independentemente,acesso a terapia
pessoa,ter levar,tempo ganhar
pessoa,ter não buscar,tratamento
pessoa,ter não reconhecer,trabalho
pessoa,ter seguir buscar,coisa específico
pessoa,ter ser ter,medo
pessoa,ter ter,processo justo
pessoa,tirar,vida de pessoa
pessoa,tomar,atitude
pessoa,tomar,atitude extremo como suicídio
pessoa,trazer,documentação necessário montar
pessoa,trazer,ideia estereotipado de indolência italiano
pessoa,usar,camiseta
pessoa,usar,espaço
pessoa,usar,love
pessoa,usar,próprio luzes de celular
pessoa,usar,rota alternativo
pessoa,usar abrir,porta de avião
pessoa,usar indevidamente,plataforma
pessoa,usar usar,celular
pessoa,vender haver,desconfiança ser
pessoa,ver,imagem
pessoa,ver,processo
pessoa,ver,realidade diferente
pessoa,ver,três cena agonia em horto
pessoa,ver propagar,trabalho
pessoa,vestir,branco
pessoa,vir,movimento diferente
pessoa,vir passar ter,bom recordação
pessoa,viram chamar,pm 11º batalhão
pessoa,virar,mercadoria
pessoa,viver,vida pleno
pessoa,voltar recuperar mais,peso eliminado
pessoa 60 ano,só receber,imunizante
pessoa adulto saudável,precisar ingerir,2 mil caloria diário
pessoa americano,aderir,plano de saúde
pessoa autorizado,acessem,conteúdo
pessoa autorizado,não fazer,tipo de ligação
pessoa bem,querer aprovar sim,reforma de previdência
pessoa casado,informar,imóvel residencial
pessoa com alzheimer,ter,lista de remédio
pessoa com conjuntivite,afastar evitar frequentar,local com aglomeração de pessoa banco
pessoa com deficiência,conhecer,cachoeira véu de noivo um de principal ponto turístico de chapada de guimarãe a 65 km de cuiabá
pessoa com deficiência,inspirar,tema deste ano
pessoa com deficiência,mostrar,eficiência
pessoa com deficiência,realizar,atividade em natureza
pessoa com direito a cidadania italiano,realizar morar registrar junto,moradia
pessoa com doença,buscar,ajuda
pessoa com epilepsia,ter,cnh
pessoa com identidade vencido,comprir,fuzil
pessoa com longo jornada de trabalho,ter,risco maior enfartar
pessoa com processo ativo,buscar,tratamento médico
pessoa com vírus,ter tomar,cuidado
pessoa como você,não nem ter,diploma de fundação getulio vargo
pessoa comum,fazer,diferença
pessoa custodiar,receber,produto de higiene pessoal
pessoa de acre,ser nunca achar,pessoa
pessoa de baixo renda,ter,direito a subsídio
pessoa de cidade,gastar,"25,7 hora por ano"
pessoa de curitiba,pretender vir aqui manifestar,apoio
pessoa de cúpula político,decidir fazer,delação
pessoa de idade,vestir foram dar,visibilidade
pessoa de nove mês de idade até 59 ano,tomar,vacina
pessoa de partes de país,encarar,conexão em aeroporto
pessoa de terceira classe,comer,barra de proteína
pessoa de ultradireita,acusar,hasan
pessoa de vilarejo próximo,matar,mãe
pessoa de ônibus,foram conseguir,carroça
pessoa desarmado,merecer,tratamento...
pessoa diferente,deir,banho
pessoa em viagem,fazer ser limitar não ter,destinação comercial
pessoa encapuzado,realizar,disparo
pessoa favorável a impeachment,querer ouvir,deputado
pessoa ferido,procurar,unidade de saúde próximo
pessoa fora,atualmente invadir,território
pessoa fora de gabinete,acessar,rede de wi-fi
pessoa físico,acertar,débito
pessoa físico,fazer,doação
pessoa honesto,não tomar,poder
pessoa inesperado,transformar,número
pessoa infectado,não beijar compartilhar,objeto
pessoa intencionado,querer fazer,mal
pessoa intencionado,tentar atribuir,críticas
pessoa intolerante a substância,desencadear,reação alérgico
pessoa introvertido,ter,tendência menor sentir
pessoa jovem,usar cedo,medicamento
pessoa jurídico,cadastrar,telefone de advogado
pessoa jurídico,não possuir,bem
pessoa ligado a tema,estar apontar,fator
pessoa morador de estado unido,conseguir viabilizar,dose de medicamento
pessoa mulher,encontrar,tipo de abordagem restritivo
pessoa negro,exerçr,cargo de liderança
pessoa pessoa,quando praticar,esporte
pessoa saudável,desenvolver,defesas contra contágio
pessoa sem cobertura,pagar ter,direito a subsídio
pessoa sem plano de saúde,adquirir,seguro
pessoa sem qualificação técnico,assumir,cargo de comando
pessoa solteiro,ter,oportunidade de engajamento social
pessoa só,passar,dia
pessoa tram,carregar,um manifesto contra prisão binário de gênero
pessoal,ajudar já ter,r$ 50 mil
pessoal,aí ser ter,competência usar
pessoal,correr aqui cair ralar,perna
pessoal,hoje usar,salito
pessoal,não dizer,valor
pessoal,passar levar,multa
pessoal,ter,obrigação colocar em nota
pessoal,ultrapassar,farol vermelho
pessoal de fundo,fazer,pergunta de difícil resposta
pessoal de guinne,achar,surpresa
pessoal de inteligência de pm,ter,autorização fazer
pessoal de loja,também dar dar,novo pratinhos
pessoal de macapá,fazer,quatro dia de viagem
pessoal de mutirama,não ter,benção
pessoal eu,não ter,condição fazer
pessoinha,descobrir amanhã,cura de aids
pestista,questionar,composição de comissão
petardo,ter revelar,putrefato meios
petecão,desviar,recurso público
peter bogdanovich,lançar,runnin down dream documentário de quatro hora sobre banda
peter cvjetanovic jovem,criticar,iniciativa
petersburg,enfrentar,duas denúncia
peticionário,preencher,requisito
peticionário,prestar,esclarecimento
peticionário,pretender realizar,viagem a exterior
peticionário,pretender realizar requerer,filho de eduardo cunha
petista,ainda apresentar,recurso especial em superior tribunal de justiça stj
petista,chamar,intervenção de pirotecnia de temer
petista,classificar,protesto
petista,cobrar,federalização de investigação sobre ataque a caravana de lula
petista,condenar,ataque a caravana de lula
petista,deixar,palácio de planalto
petista,divulgar,documento
petista,dizer criar,106 mil vaga em educação infantil creche
petista,dizer não temer,tipo de apuração
petista,enfrentar,protesto
petista,então bater,boca
petista,enviar,carta
petista,ferir,decoro parlamentar
petista,ganhar,"r$ 13,5 milhões"
petista,informar,despesa
petista,já deixar,governo lula
petista,já deixar,ministério de fazenda
petista,liderar,cinco cenário
petista,negar,acusação
petista,negar,envolvimento em irregularidade
petista,não fazer,tipo
petista,não ter,prisão
petista,onde realizar,ato de encerramento de caravana por sul de país
petista,pagar não aceitar,imóvel para sede de instituto
petista,pegar,12 ano de reclusão
petista,perder,rumo
petista,prestar,depoimento
petista,quando coordenar,campanha presidencial de dilma
petista,querer apurar,eventual desvio em previdência social..
petista,receber,suposto propina de odebrecht
petista,receber,valores
petista,receber embolsar,r$ 20 milhões
petista,tentar evitar,prisão
petista,tentar evitar reverter,condenação
petista,ter,embargo de declaração contra acórdão
petista,ter,liberdade
petista,ter,papel chave
petista de cear,resolver divertir agora chamar,presidente de senado eunício oliveira de pmdb
petista governador de mina geral,receber,"r$ 13,5 milhões"
petista governador de mina geral,receber,valor
petista jaque wagner ex ministro de governo dilma,afirmar destacar,intenso relação de palloci com sistema financeiro
petista jorge viano ac,assumir,presidência de senado
petição,envolver,fato relacionado a bndes
petição,envolver diretamente além,lava jato
petição,incluir,memorando
petição,integrar,lista de 201 pedido de investigação
petição,portanto não trazer,novidade
petição,precisar ainda receber,aval de prefeito de município paulo alexandre barboso psdb
petição,revelar,conhecimento de número de autuação
petição,também trazer,críticas a delação
petição,ter,documento anexo com 75 página com print de usuário
petição com data de 14 de agosto,criticar,razão
petição de duque,também citar,encontro entre ambos
petição de ministro edson fachin relator de lava jato em supremo tribunal federal stf,também determinar,juntada de termo
petição de procuradoria geral,além relatar,suspeita de pagamento de mesada a antigo titular de cidade
petição em internet colocar a invés de tradicional vermelho em solidariedade com vítima de abuso sexual,recolher,21 mil assinatura
petição em site de parlamento,já reunir,"1,2 milhão de assinatura contra visita de estado de presidente americano"
petição inicial,revelar exatamente,oposto
petição para realização de referendo,ter,número suficiente de assinatura seguir
petro,contratar,escritório de advocacia
petro,enviar,carta
petro,hoje não possuir,exposição a jbs
petro,registrar,déficit
petro,registrar,"déficit de r$ 22,6 bilhões"
petro,rever vender,participação em empresa
petro fundo de pensão de funcionário de petrobras,pedir,convocação de assembleia geral extraordinári a
petrobra,adotar,novo política de preço para venda de combustível
petrobra,adquirir,direito extrair
petrobra,agora colocar,refinaria
petrobra,agora exercer apenas,direito de preferência
petrobra,ainda ter,desafio financeiro
petrobra,além incluir,previsão levantar com venda de ativo entre 2017
petrobra,anunciar,acordo
petrobra,anunciar,"aumento de 8,9 % em preço médio de gás de cozinha partir desta terça"
petrobra,anunciar,venda de ufn -iii
petrobra,anunciar hoje,acordo encerrar
petrobra,anunciar hoje já acumular,alta de 10 %
petrobra,anunciar ontem,um aumento em preço de combustível em refinaria
petrobra,atingir,maior valor em último 12 mês
petrobra,aumentar,preço médio de gás de cozinha
petrobra,buscar,área
petrobra,dar acima,ágio
petrobra,elevar,preço de combustível
petrobra,elevar,preço de gasolina
petrobra,elevar,preço de gás liquefeito de petróleo glp
petrobra,estimar,valor correspondente a bônus de assinatura pagar por companhia
petrobra,exercer,direito de preferência
petrobra,fará,oferta
petrobra,fará assim não enxergar,medida
petrobra,fará não enxergar,medida
petrobra,fazer,descobertas interessante
petrobra,fazer,parte de sete brasil
petrobra,gastar,"r$ 12,8 bilhões"
petrobra,já atingir dentro,us$ 13 bilhões
petrobra,já levantar,"r$ 42,5 bilhões us $ 13,6 bilhões em conta em dólar"
petrobra,manter através,infraestrutura robusto
petrobra,onde fazer,terraplanagem
petrobra,operar buscar,interessado
petrobra,pagar favorecer,bolívia
petrobra,precisar completar,dado inicial de perfuração
petrobra,prever,investimento de r$ 30 bilhões em próximo quatro ano
petrobra,prever,investimento de r$ 30 bilhões em próximo quatro ano em bacia de campo
petrobra,quando adotar,novo política de preço
petrobra,querer desligar,fábrica de fertilizante
petrobra,reduzir,investimento em estado
petrobra,reduzir,volume de investimento em estado
petrobra,reduzir transformar,refinaria
petrobra,registrar,lucro líquido de r$ 266 milhões
petrobra,rescindir,contrato com empresa
petrobra,revertir ter abaixo,lucro
petrobra,ser admitir,parceria
petrobra,subir,1 %
petrobra,também adotar,medida preventivo
petrobra,também não mais manter,processo de venda
petrobra,ter,30 minuto
petrobra,ter,alta 2 %
petrobra,ter,"lucro de r$ 3,2 bilhões"
petrobra,ter,"perda de r$ 5,477 bilhões"
petrobra,ter,prejuízo de r$ 446 milhões em 2017
petrobra,ter,"prejuízo líquido de r$ 14,824 bilhões"
petrobra,ter,prejuízo líquido de r$ 446 milhões
petrobra,transferir,equipamento de área de refino
petrobra em parceria com estadunidense exxonmobil,pagar,"expressivo r$ 3,6 bilhões"
petrobra on,ter,"baixa de 1,54 %"
petrobra pn,cair,"1,12 %"
petrobras pn,ceder ter,"baixa de 1,54 %"
petrobrás,adotar,novo política de ajuste diário de combustível fóssil
petrobrás,anunciar,novo elevação em preço de gasolina em refinaria
petrobrás,atribuir,aumento de gás
petrobrás,buscar melhorar,desempenho
petrobrás,colaborar buscar hoje segue tentar vender,participação em braskem
petrobrás,decidir então perfurar,três poço
petrobrás,depois decidir comprar,50 % de direito de exploração deste poço
petrobrás,encarar ainda,desafio escoar
petrobrás,estabelecer,margem aceitar
petrobrás,fazer,pedido
petrobrás,fixar,preço
petrobrás,iniciar,ano de 2017
petrobrás,já revisar,política de preço de gasolina
petrobrás,negligenciar,relatório de avaliação
petrobrás,receber,oferta de petroplastic
petrobrás,reconhecer,colossal prejuízo em exercício financeiro de 2014
petrobrás,recuperar,parte de participação de mercado perdido em diesel
petrobrás,também ganhar,importância
petrobrás,ter,lucro de r$ 266 milhões
petroleira,exportar,matéria primo
petroleira,quando ter,ganho de r$ 316 milhões
petroleiras,afretar adquirir,equipamento
petroleiras chinês,também marcar,presença em primeiro rodada de leilão de óleo
petroleiras privado,explorar,sozinho área de pré-sal
petrolíferas,perfurar,solo de golfo de méxico
petróleo,atingir bater,marca de us$ 70
petróleo,dar,sustentação a projeto bolivariano
petróleo,engordar,caixa de estado
petróleo,também permitir conquistar,apoio internacional
petróleo,ter,tarifa
petróleo,ter ter,tarifa
petrópolis,repassar,pedido
petrópolis,ter,7 mil caso
petty,brigar financiar,damn em 1979
petty,fazer,turnê
petty,surgir vender,80 milhões de disco
petty biography,marcar,primeiro vez
peugeot 3008,ganhar,versão equipado
pezão,ameaçar cortar,vencimento de grevista
pezão,assumir,governo de rj
pezão,começar,reunião
pezão,considerar,alívio para rj
pezão,elogiar,presidente de república michel temer
pezão,estar deixar,reunião
pezão,marcar dentro,almoço
pezão,minimizar dizer ter,certeza fazer
pezão,negar,acusação
pezão,também negar,informação
pezão,ter,autonomia
peão,chamar,vaga
peão,estar morar não ter não ter,perspectiva
peão,ter,missão domar
peão de esquina com 40 ano,ter,qualificação formal
peça,abordar,cenário de produção musical
peça,abordar,importância respeitar partir de dificuldade de cor flicts
peça,abordar,violência contra mulher
peça,acompanhar,jovem tecelão
peça,acontecer porém não haver,peça
peça,agora receber,substitutivo
peça,apresentar,linguagem lúdico fundamental a diálogo com criança
peça,carregar,peso global
peça,começa ter,duração de 1h10
peça,contar,história de dois melhor amigo irmão de alma
peça,contar,história de pedro peregrino homem mentiroso
peça,contar,o
peça,contar,parte de história de jesus cristo
peça,contar,parte de história de jesus cristo de anúncio de vinda de filho de deus até ressurreição
peça,contar fazer,reflexão sobre discriminação racial em atualidade
peça,cumprir,requisito formal
peça,dar,salto
peça,discurtir retratar,vida social de dia a dia
peça,discutir,drama
peça,discutir propor,reflexão sobre linguagem de baiano
peça,discutir propor,reflexão sobre linguagem de povo de bahia
peça,fazer,parte de projeto
peça,fazer,recorte de cinema diferente
peça,ficar custar,r$ 30 inteiro
peça,homenageiar,escritor antoine de saint- exupéry
peça,marcar,20 ano de encontro de ator com teatro
peça,misturar,stand up
peça,mostrar,casal confinado em espaço
peça,mostrar,história de povo brasileiro
peça,mostrar,homem
peça,mostrar,homem com bomba
peça,mostrar buscar provocar,reflexão sobre papéis de mulher em sociedade
peça,narrar,dificuldade de cor flicts
peça,narrar,história de princesa
peça,não ter,cunho educativo
peça,parecer favorecer,versão sem fim
peça,pedir,valor de 30 mil
peça,possuir,requisito de admissibilidade
peça,retratar,aventura de ogro shrek a lado de amigo de conto de fada
peça,retratar,fuga de personagem
peça,retratar,vila pobre
peça,reunir,cinco texto de newton moreno
peça,reunir,grupo ponto de partida
peça,reviver,aventura de peter pan em terra de nunca
peça,reviver,aventura de peter pan em terra de nunca em meio a pirata
peça,soltar atingir,homem
peça,ter,assédio contra mulher desde pequeno violência cotidiano até abuso infantil
peça,ter,candidatura de lula
peça,ter,inspiração em film noir técnica
peça,ter,tamanho real
peça,ter fazer,parte de circuito cultural paulista
peça,trazer,atriz renata carvalho
peça,trazer,história de jovem obeso
peça,trazer,tema frequente de trama de nelson rodrigues como fantasia
peça,trazer através,humor
peça,une,contação de história
peça,usar,manipulação de imagem
peça,valer,oscar
peça branco cheiro de lírio,despertar,crítica
peça de acusação,ter,problema
peça de denúncia,incluir,350 folha com foto
peça foto,mostrar,três irmão
peça hora de recreio,recontar,clássico de literatura infantil
peça musical,acompanhar,dois personagem princesa
peça operetinho de sapato falador de cia d’alma,contar,história de lino doceiro talentoso
peça solo com atriz eddy veríssimo,abordar,tema de violência doméstico
peça teatral,recontar,clássico de literatura infantil
peça vestibular acusatório,trazer indicar,local
peço,dizer,trecho de nota de cristiane brasil
peña,dizer esperar,pagamento de us$ 26 mil referente a último plano de telejornal
peña nieto,cancelar,visita a eua
pf,abandonar,combate a corrupção
pf,abrir,inquérito
pf,abrir,inquérito apurar para pt.
pf,achar,7 kg de haxixe
pf,achar,papéis sigiloso de operação ponto final
pf,achar,r$ 51 milhões
pf,achar questionar,série de incidente
pf,acompanhar,retirada de destroço
pf,aguardar,envio de dado de cpi de petrobra
pf,ainda não concluir,último inquérito
pf,ainda não receber,documento de inquérito
pf,ainda rastrear,bem
pf,além cumprir,dez mandado de busca
pf,além cumprir,mandado em empresa de propriedade de esposo de governador cassado
pf,além cumprir,quatro mandado judicial de prisão preventivo contra ex servidor de ufjf dois em juiz fora
pf,além identificar,risco de fuga
pf,além investigar,aduteração de produto
pf,além prender,maruska lima ex presidente de terracap empresa de governo de distrito federal
pf,além querer,preventiva de luiz eduardo loureiro andrade
pf,além também pedir,preventiva de investigado de lava jato
pf,além também prender,diretor geral de defesa civil de salvador gustavo ferraz
pf,anexar,mensagem telefônico
pf,apontar,indício ocorrer por meio de empresa de fachada
pf,apontar,indício usar
pf,apontar,necessidade ouvir
pf,apontar,prejuízo de petrobrás em venda de triunfo de r$ 191 milhões
pf,apreender,1 tonelada de maconha
pf,apreender,"1,3 quilo de haxixe"
pf,apreender,15 joia
pf,apreender,25 quilo de crack
pf,apreender,celulares de andrea neve irmão de aécio
pf,apreender,dinheiro
pf,apreender,espingarda
pf,apreender,r$ 51 milhões
pf,apreender,r$ 90 mil
pf,apreender prende,três pessoa
pf,apurar investigar,funcionário de aeroporto
pf,apurar recorrer entregar,nota fiscal de pagamento
pf,assumir,caso
pf,autorizar,visita em superintendência
pf,avaliar pedir,prisão preventivo de cláudia oliveira psd de porto seguro
pf,buscar,eventual conduta de pessoa responsável
pf,buscar,ex parlamentar
pf,buscar junto,informação
pf,cobrar,informação esteve em residência oficial de senado
pf,cobrar entregar,e mail
pf,colocar gravar,candidato a vereador
pf,combater,fraude
pf,concluir,perícia
pf,concluir apontar,indício de lavagem de dinheiro
pf,concluir indiciar cobrar,imposto predial territorial urbano iptu de proprietário de terra egon just
pf,concluir informar não conseguir,prova contra aécio neve
pf,concluir ver,indício de corrupção
pf,contar,r$ 51 milhões
pf,criar,coordenação de combate a facção criminoso
pf,cumprir,20 mandado em operação
pf,cumprir,28 mandado judicial
pf,cumprir,mandado de busca
pf,cumprir,mandado de prisão
pf,cumprir,mandado em 64 endereço
pf,cumprir,mandado em fazenda de aécio neve
pf,cumprir,mandado em sp
pf,cumprir,quatro mandado de busca
pf,cumprir,série de mandado
pf,cumprir também mandar afastar,aécio
pf,dar,continuidade
pf,deflagrar,3 fase de carne fraco
pf,deflagrar,operação
pf,deflagrar,operação greenfield
pf,deflagrar,operação positus
pf,deflagrar,operação sobre irregularidade em fundo de pensão de correio
pf,deflagrar,primeiro fase de operação
pf,deflagrar,segundo fase de operação mau caminho
pf,deixar,casa de dele
pf,deixar,local
pf,depois ver remeter,inquérito
pf,descobrir,apartamento
pf,divulgar,nota
pf,encontrar,contrato de locação de imóvel
pf,encontrar,cápsula de munições diverso dentre elas de lote
pf,encontrar,digital de geddel
pf,encontrar,r$ 51 milhões
pf,encontrar,r$ 663 mil
pf,encontrar,remessa de odebrecht
pf,encontrar filmar,executivo ricardo saud
pf,enviar,50 pergunta
pf,enviar pedir,tempo concluir
pf,estimar,movimentação de esquema
pf,fazer,busca
pf,fazer,conta usar
pf,fazer,megaoperação contra esquema de venda de carne adulterado
pf,fazer,operação
pf,fazer,operação contra fraude em obra de canal de sertão
pf,fazer,operação contra quadrilha suspeito de 7 roubo a banco
pf,fazer,varredura
pf,fazer apreender,documento relacionado a réu de operação calicute
pf,fechar,delação premiado
pf,filmar,executivo ricardo saud
pf,foi encontrar apreender,70 quilo de haxixe
pf,identificar,elemento
pf,identificar,fraude
pf,identificar,impressão digital de ex ministro
pf,identificar só,aliciamento de funcionário terceirizados como alta de sul americano entre mula
pf,imputar,mesmo acusação
pf,indiciar,33 investigado entre eles principal executivo de cinco multinacional alstom
pf,indiciar,joesley
pf,indiciar,prefeito de palmas
pf,instaurar,inquérito
pf,intimar,cinco pessoa
pf,intimar,delfim netto
pf,investigar,crime de lavagem de dinheiro consistente em ocultação em exterior de u $ 100 milhões r$ 340 milhões
pf,investigar,crime..
pf,investigar,dossiês de sérgio cabral contra lava jato
pf,investigar,empresa suspeito financiar
pf,investigar,fraude em licitação
pf,investigar,legalidade de repasse de recurso de hospital para empresa
pf,investigar,participação
pf,investigar,suposto desvio de r$ 2 bilhões em estado
pf,investigar,suposto irregularidade em liberação de recurso por banco nacional de desenvolvimento econômico bnde
pf,investigar,suspeita de propina de r$ 82 milhões
pf,investigar agora,repercussão criminal de atuação desse grupo de pessoa em desvio de recurso de fundo
pf,já apreender,40 kg de haxixe
pf,já enfrentar,problema semelhante
pf,mandar,lista com 82 ponto
pf,manter,prioridade de lava jato
pf,marcar,interrogatório de eduardo cunha em inquérito
pf,necessitar convocar realizar,trabalho de logística
pf,notificar,planalto
pf,não conseguir desbloquear sugerir,envio de aparelho a exterior
pf,não contar respeitar,decisão de sérgio moro
pf,não descartar pedir novamente,prisão de vaccarezza
pf,não detalhar,endereço
pf,não revelar,nome dessas repartição
pf,não só fazer autonomamente,acordo de colaboração
pf,não ver,indício de crime
pf,onde cumprir,mandado de busca
pf,ouvir,envolvido em suposto esquema de corrupção em ale-al
pf,ouçar,delator lúcio funaro
pf,pedir,"a todo bloqueio de r$ 614,3 milhões"
pf,pedir,arquivamento de investigação
pf,pedir,arquivamento de investigação sobre temer
pf,pedir,desculpa
pf,pedir,novo prorrogação de prazo
pf,pedir,prorrogação
pf,pedir,prorrogação de inquérito
pf,pedir,prorrogação de inquérito sobre lula
pf,pedir,relatório
pf,pedir além também pedir,preventiva de investigado de lava jato
pf,pegar preso expor,e mail
pf,prende,agnelo
pf,prende,aldemir bendine ex presidente de petrobra
pf,prende,antônio celso grecco dono de rodrimar
pf,prende,genro de prefeito de bom vista
pf,prende,hacker suspeito desviar r$10 milhões de conta
pf,prende,passageiro
pf,prende fazer,busca
pf,prende investigar,desvio de recurso de sesc
pf,prender,duas pessoa irmão andré gustavo vieira de silva
pf,preparar reunir,maior parte de menção
pf,pretender agilizar integrar,especialista em caso desse tipo a equipe
pf,querer,60 dia
pf,querer prorrogar,inquérito
pf,querer requisitar confessar confirmar,acusação
pf,rastrear,novo esquema de propina
pf,realizar,operação
pf,realizar não levar,documento
pf,registrar,apreensão de mala
pf,sangrar terminar,período triste
pf,sofrer querer saber,detalhe sobre encontro entre marcelo odebrecht em período de 2008
pf,solicitar,material
pf,solicitar,retenção
pf,também cumprir,mandado de busca
pf,também cumprir,mandado de condução coercitivo contra suzana neve cabral ex mulher de sérgio cabral irmão novo de ex governador luiz arthur andrade correia
